name,TrialNum,Word,WordCategory,FishType,WordList,WordValence,WordReputation,CorrectResp,IncorrectResp,FishTypeFile,Round,WordType,Condition,LoopforOrange.thisRepN,LoopforOrange.thisTrialN,LoopforOrange.thisN,LoopforOrange.thisIndex,LoopForGreen.thisRepN,LoopForGreen.thisTrialN,LoopForGreen.thisN,LoopForGreen.thisIndex,GreenInstLoop.thisRepN,GreenInstLoop.thisTrialN,GreenInstLoop.thisN,GreenInstLoop.thisIndex,GreenPrac.thisRepN,GreenPrac.thisTrialN,GreenPrac.thisN,GreenPrac.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,GreenRound1.thisRepN,GreenRound1.thisTrialN,GreenRound1.thisN,GreenRound1.thisIndex,GreenRound2.thisRepN,GreenRound2.thisTrialN,GreenRound2.thisN,GreenRound2.thisIndex,GreenRound3.thisRepN,GreenRound3.thisTrialN,GreenRound3.thisN,GreenRound3.thisIndex,GreenRound4.thisRepN,GreenRound4.thisTrialN,GreenRound4.thisN,GreenRound4.thisIndex,GreenRound5.thisRepN,GreenRound5.thisTrialN,GreenRound5.thisN,GreenRound5.thisIndex,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,PassI.started,PassI.stopped,PassInst.keys,PassInst.rt,PassInst.started,PassInst.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,slider_3.response,slider_3.rt,slider_3.started,slider_3.stopped,Response_3,Feedback_3,BackGround_3.started,BackGround_3.stopped,Fish_3.started,Fish_3.stopped,WordBox_3.started,WordBox_3.stopped,Words_3.started,Words_3.stopped,BackGround_Feedback_3.started,BackGround_Feedback_3.stopped,Feedbacks_3.started,Feedbacks_3.stopped,Continue_or_not_2.keys,Continue_or_not_2.rt,Continue_or_not_2.started,Continue_or_not_2.stopped,image_4.started,image_4.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,startmain.started,startmain.stopped,slider_4.response,slider_4.rt,slider_4.started,slider_4.stopped,Response_4,Feedback_4,BackGround_4.started,BackGround_4.stopped,Fish_4.started,Fish_4.stopped,WordBox_4.started,WordBox_4.stopped,Words_4.started,Words_4.stopped,BackGround_Feedback_4.started,BackGround_Feedback_4.stopped,Feedbacks_4.started,Feedbacks_4.stopped,text.started,text.stopped,break_interval.started,break_interval.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,stratnextround.started,stratnextround.stopped,endgame.started,endgame.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.187788699986413,None,17.187788699986413,None,space,0.5535804000683129,17.66441350011155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
물고기과제_instruction(참가자용)GreenVersion.mp4,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.72499449993484,None,n,4.551724599907175,99.72499449993484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,1,넌 교활해,5,Orange,B,2.333333333333333,2.133333333333333,ScrollUp,ScrollDown,Orange.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03425926,-0.225,1,0,0,0.5137809598818421,None,104.30516550014727,None,108.70824000006542,110.21236190013587,110.22900729998946,111.19142280006781,111.23864430002868,112.19570669997483,112.17900290014222,None,1.983024666706721,1.500371899921447,113.47875969996676,None,ScrollUp,정답입니다,113.47875969996676,None,113.47875969996676,None,113.47875969996676,None,113.47875969996676,None,114.67473360011354,None,114.67473360011354,115.19123030011542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,2,넌 슬기로워,2,Green,A,6.166666666666667,4.1,ScrollDown,ScrollUp,Green.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.336419758697351,1.2804633998312056,115.79935170011595,None,ScrollDown,정답입니다,115.79935170011595,None,115.79935170011595,None,115.79935170011595,None,115.79935170011595,None,116.97456420003437,None,116.97456420003437,117.47454640013166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,3,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7746913582086563,1.0833566000219434,118.09775350010023,None,ScrollUp,정답입니다,118.09775350010023,None,118.09775350010023,None,118.09775350010023,None,118.09775350010023,None,119.0744115000125,None,119.0744115000125,119.57444830005988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,4,나를 데려가줘,6,Orange,B,0,0,ScrollDown,ScrollUp,Orange.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3117283980051675,0.995886699995026,120.2003238000907,None,ScrollDown,정답입니다,120.2003238000907,None,120.2003238000907,None,120.2003238000907,None,120.2003238000907,None,121.09103740006685,None,121.09103740006685,121.59108819998801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,1,넌 교활해,5,Orange,B,2.333333333333333,2.133333333333333,ScrollUp,ScrollDown,Orange.png,practice,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,5.5954252001829445,122.09107750002295,None,122.09107750002295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,1,넌 따뜻해,1,Orange,B,6.083333333333333,5.6,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.50459380005486,134.00462709995918,134.03809890011325,134.9910838000942,135.04109860002063,135.99112519994378,135.99112519994378,None,,,,,,,,,,,,,,,,,,,,,,,,,0.09074074,-0.11666667,1,0,0,0.31481426022946835,None,127.70474920002744,None,1.7052469179034233,1.2273778999224305,137.28544130013324,None,ScrollUp,정답입니다,137.28544130013324,None,137.28544130013324,None,137.28544130013324,None,137.28544130013324,None,138.20474150008522,None,138.20474150008522,138.7073938001413,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,2,넌 기품있어,2,Orange,B,5.791666666666668,4.5,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8564814726511638,0.9971097998786718,139.33865069993772,None,ScrollUp,정답입니다,139.33865069993772,None,139.33865069993772,None,139.33865069993772,None,139.33865069993772,None,140.2213946999982,None,140.2213946999982,140.72405590000562,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,3,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,1,NonTarget,NonTarget,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.632716049750646,1.1480303998105228,141.35403920011595,None,ScrollUp,정답입니다,141.35403920011595,None,141.35403920011595,None,141.35403920011595,None,141.35403920011595,None,142.3880477999337,None,142.3880477999337,142.89069129992276,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,4,넌 수동적이야,4,Green,A,2.833333333333333,2.933333333333333,ScrollDown,ScrollUp,Green.png,1,Negative,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.276234577099482,0.9149573999457061,143.5152223999612,None,ScrollDown,정답입니다,143.5152223999612,None,143.5152223999612,None,143.5152223999612,None,143.5152223999612,None,144.32102979999036,None,144.32102979999036,144.82181230001152,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,5,넌 사심이 없어,3,Orange,B,4.916666666666666,4.333333333333333,ScrollUp,ScrollDown,Orange.png,1,Neutral,Neutral,,,,,0,0,0,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6759259278575578,1.2676461001392454,145.45100670005195,None,ScrollUp,정답입니다,145.45100670005195,None,145.45100670005195,None,145.45100670005195,None,145.45100670005195,None,146.60728570003994,None,146.60728570003994,147.10740600014105,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,6,넌 헤퍼,5,Green,A,2.458333333333334,2.233333333333333,ScrollDown,ScrollUp,Green.png,1,Negative,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3101851840813956,1.24816789990291,147.73328229994513,None,ScrollDown,정답입니다,147.73328229994513,None,147.73328229994513,None,147.73328229994513,None,147.73328229994513,None,148.8739356000442,None,148.8739356000442,149.3738911000546,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,7,넌 말쑥해,3,Green,A,4.833333333333334,4.333333333333333,ScrollDown,ScrollUp,Green.png,1,Neutral,Neutral,,,,,0,0,0,0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1064814925193787,1.114938500104472,149.99979069991969,None,ScrollDown,정답입니다,149.99979069991969,None,149.99979069991969,None,149.99979069991969,None,149.99979069991969,None,151.0071585001424,None,151.0071585001424,151.52086189994588,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,8,넌 투덜거려,5,Orange,B,2.541666666666667,2.266666666666667,ScrollUp,ScrollDown,Orange.png,1,Negative,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6682098706563315,1.614039900014177,152.1501505000051,None,ScrollUp,정답입니다,152.1501505000051,None,152.1501505000051,None,152.1501505000051,None,152.1501505000051,None,153.65420010010712,None,153.65420010010712,154.1571637999732,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,9,넌 적극적이야,1,Green,A,5.708333333333333,5.533333333333333,ScrollDown,ScrollUp,Green.png,1,Positive,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3919753109415371,1.1000427999533713,154.78258959995583,None,ScrollDown,정답입니다,154.78258959995583,None,154.78258959995583,None,154.78258959995583,None,154.78258959995583,None,155.77393859997392,None,155.77393859997392,156.27379729994573,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,10,넌 재미없어,4,Orange,B,2.625,2.966666666666667,ScrollUp,ScrollDown,Orange.png,1,Negative,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5802469129363694,0.9480835997965187,156.90309019992128,None,ScrollUp,정답입니다,156.90309019992128,None,156.90309019992128,None,156.90309019992128,None,156.90309019992128,None,157.7376546000596,None,157.7376546000596,158.2403134999331,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,11,넌 명석해,2,Green,A,5.875,4.033333333333333,ScrollDown,ScrollUp,Green.png,1,Positive,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3765432089567184,1.0641152001917362,158.8655547001399,None,ScrollDown,정답입니다,158.8655547001399,None,158.8655547001399,None,158.8655547001399,None,158.8655547001399,None,159.82105359993875,None,159.82105359993875,160.3236322000157,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,12,나를 데려가줘,6,Orange,B,0,0,ScrollDown,ScrollUp,Orange.png,1,NonTarget,NonTarget,,,,,0,0,0,0,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.3000307001639158,160.94892380014062,None,ScrollDown,정답입니다,160.94892380014062,None,160.94892380014062,None,160.94892380014062,None,160.94892380014062,None,162.1403513001278,None,162.1403513001278,162.64027360011823,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,13,넌 소심해,4,Green,A,3,3.1,ScrollDown,ScrollUp,Green.png,1,Negative,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1033950646718342,1.083314900053665,163.26469730003737,None,ScrollDown,정답입니다,163.26469730003737,None,163.26469730003737,None,163.26469730003737,None,163.26469730003737,None,164.2376029000152,None,164.2376029000152,164.74027019995265,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,14,넌 합리적이야,2,Green,A,5.583333333333333,4.733333333333333,ScrollDown,ScrollUp,Green.png,1,Positive,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9499147001188248,165.36265789996833,None,ScrollDown,정답입니다,165.36265789996833,None,165.36265789996833,None,165.36265789996833,None,165.36265789996833,None,166.20387470000423,None,166.20387470000423,166.7040337000508,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,15,넌 무자비해,5,Orange,B,2.333333333333333,2.1,ScrollUp,ScrollDown,Orange.png,1,Negative,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7530864129463832,0.898176799993962,167.33914060005918,None,ScrollUp,정답입니다,167.33914060005918,None,167.33914060005918,None,167.33914060005918,None,167.33914060005918,None,168.1239144001156,None,168.1239144001156,168.6235474999994,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,16,나를 보내줘,6,Green,A,0,0,ScrollUp,ScrollDown,Green.png,1,NonTarget,NonTarget,,,,,0,0,0,0,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8117283930381138,1.1652485001832247,169.24596780003048,None,ScrollUp,정답입니다,169.24596780003048,None,169.24596780003048,None,169.24596780003048,None,169.24596780003048,None,170.3041703000199,None,170.3041703000199,170.80681050010026,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,17,넌 현실적이야,3,Orange,B,4.608695652173913,4.766666666666667,ScrollUp,ScrollDown,Orange.png,1,Neutral,Neutral,,,,,0,0,0,0,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9490740597248077,1.1665774998255074,171.43032520008273,None,ScrollUp,정답입니다,171.43032520008273,None,171.43032520008273,None,171.43032520008273,None,171.43032520008273,None,172.48709510010667,None,172.48709510010667,172.98715379997157,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,18,넌 의리있어,1,Orange,B,5.833333333333334,5.633333333333334,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7777777860562007,0.8982435001526028,173.61776780011132,None,ScrollUp,정답입니다,173.61776780011132,None,173.61776780011132,None,173.61776780011132,None,173.61776780011132,None,174.40668389992788,None,174.40668389992788,174.90672990004532,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,19,넌 신경과민이야,5,Green,A,2.541666666666667,2.166666666666667,ScrollDown,ScrollUp,Green.png,1,Negative,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09413580596447,0.933343900134787,175.53649950004183,None,ScrollDown,정답입니다,175.53649950004183,None,175.53649950004183,None,175.53649950004183,None,175.53649950004183,None,176.3567484000232,None,176.3567484000232,176.85668800002895,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,20,넌 편안해,1,Green,A,5.916666666666666,5.866666666666666,ScrollDown,ScrollUp,Green.png,1,Positive,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2901234527428946,0.8815268999896944,177.49387950007804,None,ScrollDown,정답입니다,177.49387950007804,None,177.49387950007804,None,177.49387950007804,None,177.49387950007804,None,178.2703241999261,None,178.2703241999261,178.7703838001471,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,21,넌 품위있어,2,Orange,B,5.291666666666666,4.466666666666667,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7577160547176998,0.8839763000141829,179.40055180015042,None,ScrollUp,정답입니다,179.40055180015042,None,179.40055180015042,None,179.40055180015042,None,179.40055180015042,None,180.1706453000661,None,180.1706453000661,180.6732688001357,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,22,넌 빈틈없어,3,Green,A,4.833333333333333,3.966666666666667,ScrollDown,ScrollUp,Green.png,1,Neutral,Neutral,,,,,0,0,0,0,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1759259204069774,0.9646651998627931,181.2999942000024,None,ScrollDown,정답입니다,181.2999942000024,None,181.2999942000024,None,181.2999942000024,None,181.2999942000024,None,182.1566818000283,None,182.1566818000283,182.6565650999546,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,23,넌 상상력없어,4,Orange,B,2.833333333333333,3.133333333333333,ScrollUp,ScrollDown,Orange.png,1,Negative,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6929012313485146,1.008913700003177,183.28749989997596,None,ScrollUp,정답입니다,183.28749989997596,None,183.28749989997596,None,183.28749989997596,None,183.28749989997596,None,184.18686840008013,None,184.18686840008013,184.68690620013513,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,24,넌 지혜로워,2,Orange,B,6.333333333333334,4.633333333333334,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6157407462596893,0.8199412000831217,185.31754190009087,None,ScrollUp,정답입니다,185.31754190009087,None,185.31754190009087,None,185.31754190009087,None,185.31754190009087,None,186.023354700068,None,186.023354700068,186.5231975999195,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,25,넌 시끄러워,4,Green,A,2.833333333333333,3.033333333333333,ScrollDown,ScrollUp,Green.png,1,Negative,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.234567900498708,0.8122165999375284,187.15085140010342,None,ScrollDown,정답입니다,187.15085140010342,None,187.15085140010342,None,187.15085140010342,None,187.15085140010342,None,187.85643430007622,None,187.85643430007622,188.35653350013308,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,26,넌 만사태평이야,3,Orange,B,4,4.333333333333333,ScrollUp,ScrollDown,Orange.png,1,Neutral,Neutral,,,,,0,0,0,0,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7314814925193787,0.8954075002111495,188.9930871000979,None,ScrollUp,정답입니다,188.9930871000979,None,188.9930871000979,None,188.9930871000979,None,188.9930871000979,None,189.7700688999612,None,189.7700688999612,190.27008199994452,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,27,넌 붙임성있어,1,Green,A,5.708333333333333,5.633333333333334,ScrollDown,ScrollUp,Green.png,1,Positive,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3117283980051675,0.8292030000593513,190.90055759996176,None,ScrollDown,정답입니다,190.90055759996176,None,190.90055759996176,None,190.90055759996176,None,190.90055759996176,None,191.62010039994493,None,191.62010039994493,192.1231112999376,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,28,넌 영리해,2,Green,A,6,4.033333333333333,ScrollDown,ScrollUp,Green.png,1,Positive,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3070987686514854,0.7970573999918997,192.74814029992558,None,ScrollDown,정답입니다,192.74814029992558,None,192.74814029992558,None,192.74814029992558,None,192.74814029992558,None,193.43969070003368,None,193.43969070003368,193.93967160000466,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,29,넌 열심이야,1,Orange,B,6.041666666666667,5.833333333333333,ScrollUp,ScrollDown,Orange.png,1,Positive,Incongruent,,,,,0,0,0,0,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.652777781089147,0.7952560998965055,194.56928170006722,None,ScrollUp,정답입니다,194.56928170006722,None,194.56928170006722,None,194.56928170006722,None,194.56928170006722,None,195.236824600026,None,195.236824600026,195.7395379000809,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
,30,넌 인기없어,4,Orange,B,3,3.3,ScrollUp,ScrollDown,Orange.png,1,Negative,Congruent,,,,,0,0,0,0,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8240740795930226,0.8453063999768347,196.36681200005114,None,ScrollUp,정답입니다,196.36681200005114,None,196.36681200005114,None,196.36681200005114,None,196.36681200005114,None,197.10618699993938,None,197.10618699993938,197.60618150001392,,,,,,,,,,,,,,,,204,2023-03-28_15h17.26.135,FishGame,2022.1.1,59.86453852219558,
